"vault_address","allocator_address","rewards_net_eth","rewards_net_wei","rewards_gross_eth","rewards_gross_wei"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0507ddae04044158a03315b4791e1bb189c43e1e",0.0000001535728117,153572811707,0.0000001616555913,161655591270.52631579
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0508fbe4d6b92f3b647f54229668d76bf715fb63",0.0000001435166262,143516626202,0.0000001510701328,151070132844.21052632
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x05b1abeae68d396756037f80316b1a492bd4188e",0.0000001185735388,118573538764,0.0000001248142513,124814251330.52631579
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x05e22156054b86b257622edea814d48d2626ce26",0.0000000163397826,16339782553,0.0000000171997711,17199771108.42105263
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0639b3860b65f7513aa32b28b394bf7c3ae895e1",0.0000005547364555,554736455530,0.0000005839331111,583933111084.21052632
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0661dfd72c155f27f047a7ce190c48dd7bd1835d",0.0000015279338484,1527933848368,0.0000016083514193,1608351419334.7368
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0665d7782d9d5a123ac67ed1a629307bcd43236e",0.0000005235017853,523501785260,0.0000005510545108,551054510800.00000000
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x07358c66e3fb7b8d973d5a36372e95b714f1ce8e",0.0000001833437965,183343796455,0.00000019299347,192993469952.63157895
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0750cc7e3d7883c5c21f907da3ce2a94bb3ea880",0.0000004935092271,493509227081,0.0000005194833969,519483396927.36842105
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0794a9016338fc37fdd4065513a904f53ed1a288",0.0000003200276619,320027661916,0.0000003368712231,336871223069.47368421
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x079ac41c57508cd7f29c2cbba191fb851da304e8",0.0000006828326749,682832674865,0.0000007187712367,718771236700.00000000
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x07a81a8dd5b07245d60b4e45ded429e833d5a9dd",0.0000001388390274,138839027353,0.0000001461463446,146146344582.10526316
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x07e3d4a95f31dc04e2d310998402c32282752a60",0.0000003198367523,319836752266,0.0000003366702655,336670265543.15789474
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x082ca0930073e2ef45cf1840632d527a27e5499f",0.0000001498704135,149870413479,0.00000015775833,157758329977.89473684
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x08d769167f3e84a21b46b34540bae57c4d08c3a3",0.0000001441432941,144143294079,0.0000001517297832,151729783241.05263158
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0927830a0cb5d4541cda20d16a97f25af73b971a",0.0000001507612716,150761271628,0.0000001586960754,158696075397.89473684
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x093b8785454b438a9bd4936d22039d8b7d3ff367",0.0000002309192104,230919210410,0.0000002430728531,243072853063.15789474
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0940fabd511962876f3bbd8bd4e657bf47378a86",0.000000170328587,170328586952,0.0000001792932494,179293249423.15789474
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x09e5c7ef85bdb38ca1538dffa462bd1fe7d114a5",0.0000000238892471,23889247078,0.0000000251465759,25146575871.57894737
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x09f3c18f669d7384b8cabb3cfe1f289eabfa166f",0.0000001686490676,168649067564,0.0000001775253343,177525334277.89473684
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0a6bf6dd4d2a2bbccab4b006e4d2efa82b329856",0.0000001416143589,141614358861,0.0000001490677462,149067746169.47368421
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0a709a544ec4d0822c9e583fa31bdae88b1b175f",0.0000001764950629,176495062900,0.0000001857842767,185784276736.84210526
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0aa3d68311c993b494877f19055b7c62b63e32dd",0.0000005211774282,521177428209,0.0000005486078192,548607819167.36842105
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0b2fc4fa7a66aa0e8bcbb398338440a9d1f8e504",0.0000000029210404,2921040383,0.0000000030747794,3074779350.52631579
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0b33986b567eb0a30f98dd168e4557cf6ee91cd6",0.0000000358697189,35869718892,0.0000000377575988,37757598833.68421053
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0bc3f01c8f82d728e74862b220ea868dc8dd68fa",0.000000210503215,210503215006,0.0000002215823316,221582331585.26315789
