"vault_address","allocator_address","rewards_net_eth","rewards_net_wei","rewards_gross_eth","rewards_gross_wei"
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0b537995b91d486c3a09810834639c2a0f6121ee",0.0000000050972835,5097283527,0.0000000053655616,5365561607.36842105
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0b70a63ce7af5b913f67c3f3c30169277a3e1356",0.00350399207439712,3503992074397120,0.0036884127098917056,3688412709891705.2632
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0b724576870b10b8716cb5cd04dcd501b51201c3",0.002079714002086207,2079714002086207,0.002189172633774955,2189172633774954.7368
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0b8ab4a19179cbb2872cec1f823f0a8352b3e85b",0.0001787534912209,178753491220886,0.0001881615697062,188161569706195.7895
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0bfde33af58bf2a563c1dfa31d875c130f4721e6",0.0000010290602876,1029060287626,0.0000010832213554,1083221355395.7895
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0c1838e30efa4667b8a58bbaac2719da4677f111",0.000006459014258,6459014258030,0.0000067989623769,6798962376873.6842
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0c54e86d86b37f23c7ba03f69e0be49e017f93de",0.0000265621326426,26562132642551,0.0000279601396237,27960139623737.8947
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0c880e15663fef73d12a3efcde098b1e0174e293",0.0000001013907076,101390707566,0.0000001067270606,106727060595.78947368
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0cbed896a98a922e2326f83ae0d80e4776b3cec5",0.0007919115448828,791911544882845,0.0008335910998767,833591099876678.9474
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0d3217a463b64d40e131d39c4c30a90853e26a65",0.0000507371466587,50737146658676,0.0000534075227986,53407522798606.3158
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0daab9ba334b47fdd3a4e2cb1bf293ab3f94f9c7",0.0000430939378646,43093937864599,0.0000453620398575,45362039857472.6316
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0dd18f10c196f30b4d59ea6da4e28b431cb95b49",0.0000026512773472,2651277347246,0.0000027908182603,2790818260258.9474
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0dde3910fd7725e4448303c1ad7b668cb458798f",0.002060002567369614,2060002567369614,0.0021684237551259093,2168423755125909.4737
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0e4dac52f1239aa06c653825e1574a64c77dee88",0.003986417938990576,3986417938990576,0.004196229409463764,4196229409463764.2105
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0f3268cf93282747d09208cba740096c3cebdd22",0.001478431312556617,1478431312556617,0.001556243486901702,1556243486901702.1053
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0f395cf477a458e774951950217df36bbeb5f8c7",0.000010646598373,10646598372952,0.0000112069456557,11206945655738.9474
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x104c5d4c8a2439732735eac71b8abf84d74f8cd3",0.0000000174950008,17495000828,0.0000000184157903,18415790345.26315789
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x10c1576a93a011d1aa964d577f37087e76253b1c",0.0000068869597053,6886959705303,0.0000072494312687,7249431268740.0000
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x110aa9fb8d2ec6482301a7c526437a9fdd58e34e",0.0000512644725129,51264472512905,0.0000539626026452,53962602645163.1579
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x117604b6f8ad5beb48f39962ff4cf46dc65c346a",0.0000062540374161,6254037416079,0.0000065831972801,6583197280083.1579
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x119ce5f0085316da50765b7180aaa89a149e600e",0.0000000105958476,10595847567,0.0000000111535238,11153523754.73684211
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x11bd90b45777fe24ed535eab1f00095ddf884b00",0.0004924602808934,492460280893374,0.0005183792430457,518379243045656.8421
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x11eede2b69d4d8e3fb6e4193a5f6f6858a552f0f",0.0000748456095829,74845609582948,0.0000787848521926,78784852192576.8421
